clone	size
2322	5
2323	9
2324	7
2325	38
2326	11
2327	4
2328	21
2329	9
2330	28
2331	1
2332	2
2333	31
2334	6
2335	2
2336	8
2337	4
2338	26
2339	3
2340	19
2341	12
2342	33
2343	6
2344	13
2345	15
2346	38
2347	21
2348	57
2349	21
2350	17
2351	44
2352	27
2353	20
2354	9
2355	20
2356	5
2357	29
2358	25
2359	59
2360	15
2361	37
2362	24
2363	9
2364	2
2365	1
2366	4
2367	14
2368	17
2369	1
2370	4
2371	6
2372	14
2373	26
2374	7
2375	2
2376	19
2377	13
2378	5
2379	13
2380	14
2381	32
2382	21
2383	4
2384	25
2385	38
2386	23
2387	44
2388	7
2389	13
2390	9
2391	6
2392	14
2393	19
2394	149
2395	21
2396	17
2397	46
2398	42
2399	58
2400	12
2401	1
2402	3
2403	27
2404	8
2405	44
2406	42
2407	14
2408	6
2409	59
2410	21
2411	54
2412	16
2413	19
2414	26
2415	11
2416	3
2417	30
2418	12
2419	6
2420	38
2421	42
2422	39
2423	27
2424	10
2425	3
2426	19
2427	17
2428	31
2429	2
2430	46
2431	10
2432	1
2433	2
2434	69
2435	5
2436	3
2437	10
2438	6
2439	4
2440	65
2441	36
2442	37
2443	22
2444	11
2445	3
2446	7
2447	13
2448	11
2449	4
2450	46
2451	6
2452	17
2453	36
2454	15
2455	4
2456	31
2457	10
2458	9
2459	1
2460	13
2461	17
2462	3
2463	7
2464	5
2465	7
2466	14
2467	46
2468	20
2469	9
2470	28
2471	1
2472	11
2473	49
2474	4
2475	5
2476	21
2477	6
2478	8
2479	16
2480	30
2481	15
2482	19
2483	81
2484	13
2485	13
2486	42
2487	19
2488	31
2489	54
2490	60
2491	7
2492	6
2493	3
2494	9
2495	1
2496	6
2497	13
2498	6
2499	3
2500	40
2501	27
2502	24
2503	3
2504	24
2505	3
2506	8
2507	13
2508	9
2509	18
2510	26
2511	21
2512	15
2513	39
2514	3
2515	8
2516	1
2517	16
2518	24
2519	44
2520	26
2521	1
2522	4
2523	36
2524	1
2525	12
2526	22
2527	14
2528	18
2529	5
2530	1
2531	39
2532	6
2533	2
2534	9
2535	4
2536	2
2537	17
2538	3
2539	28
2540	46
2541	16
2542	26
2543	10
2544	5
2545	47
2546	13
2547	24
2548	1
2549	3
2550	25
2551	5
2552	4
2553	2
2554	1
2555	32
2556	39
2557	7
2558	6
2559	1
2560	36
2561	64
2562	6
2563	11
2564	18
2565	7
2566	27
2567	11
2568	20
2569	1
2570	3
2571	64
2572	141
2573	7
2574	60
2575	6
2576	13
2577	25
2578	37
2579	12
2580	40
2581	17
2582	5
2583	7
2584	10
2585	31
2586	15
2587	30
2588	22
2589	30
2590	7
2591	25
2592	26
2593	62
2594	17
2595	22
2596	21
2597	28
2598	30
2599	11
2600	15
2601	24
2602	3
2603	19
2604	21
2605	2
2606	16
2607	9
2608	9
2609	11
2610	1
2611	16
2612	19
2613	27
2614	5
2615	13
2616	62
2617	5
2618	1
2619	44
2620	18
2621	7
2622	29
2623	9
2624	92
2625	49
2626	49
2627	55
2628	3
2629	42
2630	4
2631	9
2632	45
2633	20
2634	15
2635	7
2636	64
2637	28
2638	41
2639	84
2640	38
2641	3
2642	21
2643	35
2644	12
2645	5
2646	79
2647	27
2648	12
2649	26
2650	6
2651	16
2652	67
2653	40
2654	13
2655	4
2656	5
2657	27
2658	5
2659	32
2660	4
2661	23
2662	21
2663	59
2664	5
2665	7
2666	89
2667	3
2668	16
2669	7
2670	23
2671	10
2672	37
2673	8
2674	43
2675	2
2676	25
2677	10
2678	27
2679	3
2680	11
2681	13
2682	3
2683	57
2684	4
2685	17
2686	3
2687	28
2688	13
2689	42
2690	13
2691	14
2692	1
2693	20
2694	4
2695	6
2696	3
2697	3
2698	37
2699	20
2700	2
2701	7
2702	74
2703	36
2704	10
2705	2
2706	8
2707	36
2708	106
2709	145
2710	7
2711	10
2712	30
2713	10
2714	9
2715	40
2716	4
2717	20
2718	27
2719	4
2720	82
2721	12
2722	46
2723	3
2724	23
2725	23
2726	94
2727	55
2728	75
2729	61
2730	16
2731	4
2732	7
2733	65
2734	1
2735	16
2736	35
2737	3
2738	40
2739	13
2740	1
2741	29
2742	1
2743	14
2744	11
2745	114
2746	20
2747	39
2748	1
2749	32
2750	93
2751	13
2752	56
2753	37
2754	14
2755	11
2756	23
2757	20
2758	11
2759	37
2760	15
2761	19
2762	11
2763	23
2764	48
2765	23
2766	13
2767	38
2768	18
2769	3
2770	41
2771	12
2772	11
2773	4
2774	4
2775	21
2776	18
2777	77
2778	21
2779	44
2780	7
2781	22
2782	68
2783	34
2784	22
2785	33
2786	15
2787	6
2788	11
2789	40
2790	9
2791	94
2792	26
2793	51
2794	17
2795	23
2796	15
2797	2
2798	33
2799	5
2800	50
2801	33
2802	1
2803	8
2804	9
2805	5
2806	15
2807	31
2808	26
2809	57
2810	1
2811	23
2812	39
2813	25
2814	1
2815	14
2816	5
2817	36
2818	8
2819	9
2820	7
2821	20
2822	17
2823	3
2824	53
2825	15
2826	49
2827	25
2828	32
2829	6
2830	16
2831	12
2832	23
2833	45
2834	17
2835	17
2836	54
2837	4
2838	11
2839	26
2840	10
2841	20
2842	130
2843	32
2844	31
2845	1
2846	14
2847	1
2848	46
2849	64
2850	5
2851	32
2852	24
2853	24
2854	14
2855	12
2856	3
2857	85
2858	26
2859	63
2860	3
2861	9
2862	43
2863	34
2864	3
2865	27
2866	25
2867	5
2868	128
2869	6
2870	15
2871	1
2872	9
2873	8
2874	17
2875	12
2876	18
2877	19
2878	25
2879	33
2880	35
2881	40
2882	18
2883	18
2884	14
2885	43
2886	9
2887	5
2888	35
2889	18
2890	13
2891	9
2892	14
2893	7
2894	4
2895	5
2896	9
2897	29
2898	85
2899	1
2900	48
2901	33
2902	18
2903	4
2904	3
2905	8
2906	57
2907	58
2908	21
2909	5
2910	13
2911	1
2912	44
2913	8
2914	2
2915	16
2916	7
2917	62
2918	6
2919	27
2920	26
2921	50
2922	18
2923	11
2924	13
2925	4
2926	56
2927	22
2928	40
2929	18
2930	35
2931	29
2932	38
2933	20
2934	4
2935	7
2936	40
2937	34
2938	48
2939	11
2940	29
2941	33
2942	14
2943	11
2944	48
2945	13
2946	25
2947	28
2948	9
2949	13
2950	17
2951	15
2952	25
2953	28
2954	24
2955	74
2956	37
2957	4
2958	52
2959	20
2960	3
2961	30
2962	9
2963	1
2964	7
2965	46
2966	10
2967	1
2968	2
2969	33
2970	10
2971	5
2972	28
2973	13
2974	9
2975	41
2976	11
2977	15
2978	25
2979	1
2980	1
2981	19
2982	4
2983	137
2984	49
2985	47
2986	54
2987	45
2988	72
2989	9
2990	41
2991	14
2992	54
2993	14
2994	21
2995	66
